"","country","public_debt_bip","trend_pdb","public_debt_state_rev","trend_pdsr","foreign_debt_bip","trend_fdp","foreign_debt_exp","trend_fde","external_debt_service_exp","trend_edse","risk_excessive_debt","exceedance","debt_situation","tendency","income","trend","region","region_large","public_debt_bip2","public_debt_state_rev2","foreign_debt_bip2","foreign_debt_exp2","external_debt_service_exp2"
"1","AFG",7,0,27.7,0,12.1,-1,186.1,1,4.1,1,2,1,1,1,"L",1,"Southern Asia","Middle East",0,0,0,1,0
"2","BGD",33.1,0,323.9,0,18.1,1,120.1,0,5.5,0,0,2,1,1,"LM",1,"Southern Asia","Asia",0,2,0,0,0
"3","BTN",106.3,0,397.5,1,113.3,1,353.3,1,10.5,0,1,11,3,3,"LM",1,"Southern Asia","Asia",3,2,3,3,0
"4","IND",71.2,0,347.3,0,19.8,-1,101,1,10.1,1,0,3,1,1,"LM",1,"Southern Asia","Asia",1,2,0,0,0
"5","IDN",28.8,1,205.4,1,36,1,177,1,34,1,0,5,2,5,"LM",1,"South-Eastern Asia","Asia",0,1,0,1,3
"6","KHM",30.4,0,142.1,-1,57.2,1,73.1,0,3.9,-1,0,1,1,-1,"LM",-1,"South-Eastern Asia","Asia",0,0,1,0,0
"7","KIR",26.3,1,21.7,1,NA,0,NA,0,NA,0,2,0,1,2,"LM",1,"Micronesia","Oceania",0,0,NA,NA,NA
"8","LAO",63.6,1,378.3,1,90.8,0,248.6,1,13.4,1,2,8,2,4,"LM",1,"South-Eastern Asia","Asia",1,2,3,2,0
"9","MYS",54.1,0,276,1,69.5,0,115.6,1,4.9,-1,0,4,1,1,"UM",1,"South-Eastern Asia","Asia",1,1,2,0,0
"10","MDV",63.9,1,220.1,0,32.2,1,39.2,1,5.1,0,2,2,1,3,"UM",1,"Southern Asia","Asia",1,1,0,0,0
"11","MHL",25.6,-1,37.7,-1,NA,0,NA,0,NA,0,2,0,1,-2,"UM",-1,"Micronesia","Oceania",0,0,NA,NA,NA
"12","FSM",24.5,-1,35.4,-1,NA,0,NA,0,NA,0,2,0,1,-2,"LM",-1,"Micronesia","Oceania",0,0,NA,NA,NA
"13","MNG",83.5,1,285.9,1,285.5,1,410.7,0,56.2,1,0,12,3,4,"LM",1,"Eastern Asia","Asia",2,1,3,3,3
"14","NRU",62,-1,NA,0,NA,0,NA,0,NA,0,0,1,1,-1,"UM",-1,"Micronesia","Oceania",1,NA,NA,NA,NA
"15","NPL",26.4,-1,108.8,-1,20.1,0,165.7,0,8.5,0,0,1,1,-2,"L",-1,"Southern Asia","Asia",0,0,0,1,0
"16","PAK",67,0,429,0,26.3,1,286,1,22.6,0,0,8,2,2,"LM",1,"Southern Asia","Asia",1,3,0,2,2
